Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_1,,,,,,,,,,,,,,,,,,,,,,,,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_10,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_2,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_3,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_4,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_5,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_6,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_7,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_8,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.0001_Model_9,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
RANDOM_Size_10002_MinAct_100_MinTransProb_0.01_Model_1,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
